Size_Category,Markdown_Counts,Weekly_Sales,Store_Week_Obs,Uplift %
Between 100k and 150k,0,871303.715,1012,0.0
Between 100k and 150k,3,747095.12,4,-14.255487823783694
Between 100k and 150k,4,827524.075,186,-5.024613030600933
Between 100k and 150k,5,911696.0,371,4.635844459816177
Between 150k and 200k,0,1024387.97,644,0.0
Between 150k and 200k,3,1188296.3199999998,2,16.000612541359683
Between 150k and 200k,4,1067310.74,85,4.19008922957188
Between 150k and 200k,5,1093573.99,270,6.753888372976502
Between 50k and 100k,0,552095.005,368,0.0
Between 50k and 100k,3,768304.94,2,39.16172634092205
Between 50k and 100k,4,541120.2,77,-1.9878471822073542
Between 50k and 100k,5,580453.32,125,5.136491861577328
Less than 50k,0,395231.445,920,0.0
Less than 50k,1,312298.37,5,-20.983420233681056
Less than 50k,2,333146.88,81,-15.708407259953722
Less than 50k,3,439424.5,171,11.181563501355514
Less than 50k,4,418925.47,175,5.994974666046616
Less than 50k,5,407626.54500000004,78,3.1361624073206107
More than 200k,0,1588347.1549999998,1196,0.0
More than 200k,4,1529615.54,135,-3.697656070659173
More than 200k,5,1607710.21,528,1.2190694546243683
