Store,No_Markdown_Median,Markdown_Median,No_Markdown_Count,Markdown_Count,Uplift %
38,357221.63,422810.12,92,51,18.360727484503105
44,288283.81,326053.27999999997,92,51,13.101488425590036
39,1348220.8,1522978.54,92,51,12.962100866564288
41,1186001.125,1331514.44,92,51,12.269239204979671
17,844847.78,938303.28,92,51,11.061815182848678
7,539220.0900000001,593875.46,92,51,10.136004020176598
3,380046.88,418112.76,92,51,10.016101171518631
5,302354.5,330063.06,92,51,9.164262479969704
4,1993427.58,2174514.13,92,51,9.084180023234142
9,519045.1,562173.12,92,51,8.309108399250858
42,537366.03,577698.37,92,51,7.505561897911553
13,1917538.2000000002,2037663.71,92,51,6.264569331656587
1,1505372.375,1592409.97,92,51,5.781798340759373
12,966436.105,1014898.78,92,51,5.014576209360478
8,875025.075,916918.7,92,51,4.7877056551779384
32,1124560.47,1177539.71,92,51,4.711106375631361
11,1310973.585,1361595.33,92,51,3.861385582379992
34,938802.715,973250.41,92,51,3.6693220470714194
33,252541.95500000002,261666.29,92,51,3.6129976898293954
26,987325.5449999999,1022704.2,92,51,3.5832816419228806
16,501274.20499999996,518045.09,92,51,3.3456509097650593
40,941997.8,969387.48,92,51,2.90761613243682
2,1860154.165,1910092.37,92,51,2.684627217443565
37,513625.91500000004,527041.46,92,51,2.611929150810065
20,2032531.8900000001,2080529.06,92,51,2.3614473276480754
6,1519343.905,1550385.65,92,51,2.0431019532736983
25,681317.2849999999,694765.95,92,51,1.9739210051011753
45,758812.2649999999,773603.77,92,51,1.9492970372586325
31,1365935.7850000001,1392543.37,92,51,1.9479382041374633
23,1341981.76,1363155.77,92,51,1.577816527103916
29,516682.805,520493.83,92,51,0.7375947028080455
22,993267.05,997868.63,92,51,0.46327722237438135
24,1340435.485,1335647.1,92,51,-0.3572260697052502
10,1827892.825,1817603.66,92,51,-0.5628976086166342
30,439811.975,436462.63,92,51,-0.761540201355357
28,1267929.8599999999,1255081.22,92,51,-1.0133557387787917
18,1065320.755,1052066.58,92,51,-1.2441487634397788
43,637019.3500000001,627634.04,92,51,-1.4733163129189175
35,856463.77,829284.67,92,51,-3.1734091916112197
19,1423467.68,1375101.26,92,51,-3.3977884204578443
15,608081.01,587259.8200000001,92,51,-3.424081603863923
21,748520.78,716341.39,92,51,-4.299064349289009
27,1762850.5550000002,1674306.31,92,51,-5.022787935645521
14,2064710.875,1877410.36,92,51,-9.071512978784495
36,410356.21499999997,310982.87,92,51,-24.216361631077035
